
Solucion numero: 1
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	17	6		17 - 10 - 5 - 4 - 6		98
	18	14		18 - 5 - 4 - 2 - 0 - 15 - 14		416
	12	5		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		94
	14	9		14 - 11 - 9		129
	12	14		12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		35
	6	11		6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		14
	18	11		18 - 5 - 4 - 2 - 0 - 15 - 11		356
	10	12		10 - 5 - 4 - 2 - 0 - 15 - 11 - 12		372
	10	13		10 - 5 - 4 - 2 - 0 - 15 - 13		209
	16	9		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9		192
	13	1		13 - 12 - 11 - 9 - 4 - 2 - 1		232
	15	14		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 14		353
	5	18		5 - 4 - 2 - 0 - 1 - 16 - 18		228
	6	2		6 - 4 - 2		390
	13	16		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16		272
	13	11		13 - 12 - 11		438
	9	13		9 - 4 - 2 - 0 - 1 - 16 - 15 - 13		165
	18	16		18 - 5 - 4 - 2 - 1 - 16		401
	9	5		9 - 4 - 2 - 0 - 1 - 16 - 5		338
	5	0		5 - 4 - 2 - 0		264
	11	13		11 - 9 - 4 - 2 - 0 - 15 - 13		374
	5	15		5 - 4 - 2 - 0 - 15		221
	12	8		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		328
	5	10		5 - 4 - 2 - 0 - 15 - 11 - 10		427
	16	3		16 - 1 - 0 - 2 - 3		3
	4	2		4 - 2		149
	5	13		5 - 4 - 2 - 0 - 1 - 16 - 15 - 13		260
	18	13		18 - 5 - 4 - 2 - 0 - 15 - 13		438
	14	12		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		95
	9	6		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6		320
	14	17		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17		326
	10	18		10 - 5 - 4 - 2 - 1 - 16 - 18		415
	14	5		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5		7
	14	16		14 - 11 - 9 - 4 - 2 - 1 - 16		298
	4	10		4 - 2 - 0 - 1 - 16 - 5 - 10		1
	6	14		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		303
	15	2		15 - 0 - 1 - 2		295
	11	12		11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		299
	12	17		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		17
	5	14		5 - 4 - 2 - 0 - 1 - 16 - 15 - 14		61
	13	17		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		26
	7	10		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		75
	5	9		5 - 4 - 2 - 0 - 15 - 11 - 9		179
	5	12		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		418
	14	11		14 - 11		292
	3	1		3 - 2 - 0 - 1		351
	14	15		14 - 11 - 9 - 4 - 2 - 0 - 15		428
	18	8		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		50
	5	2		5 - 4 - 2		235
	6	9		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		302
	14	4		14 - 11 - 9 - 4		6
	3	9		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9		176
	16	8		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		345
	17	2		17 - 10 - 5 - 4 - 2		182
	9	16		9 - 4 - 2 - 0 - 1 - 16		58
	14	7		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		310
	18	6		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		373
	5	11		5 - 4 - 2 - 0 - 15 - 11		39
	11	9		11 - 9		234
	17	13		17 - 10 - 5 - 4 - 15 - 13		150
	9	18		9 - 4 - 2 - 0 - 1 - 16 - 18		132
	13	2		13 - 12 - 11 - 9 - 4 - 2		229
	14	1		14 - 11 - 9 - 4 - 2 - 1		164
	4	5		4 - 2 - 0 - 1 - 16 - 5		184
	7	5		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		118
	14	10		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		210
	7	0		7 - 6 - 4 - 2 - 0		200
	15	5		15 - 0 - 1 - 2 - 3 - 4 - 5		121
	4	18		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 18		281
	11	18		11 - 9 - 4 - 2 - 1 - 16 - 18		135
	14	6		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		376
	4	15		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 15		290
	12	15		12 - 11 - 9 - 4 - 2 - 0 - 15		444
	15	9		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9		89
	5	1		5 - 4 - 2 - 1		15
	4	0		4 - 2 - 0		126
	10	1		10 - 5 - 4 - 2 - 1		79
	4	7		4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		143
	9	2		9 - 4 - 2		385
	6	16		6 - 4 - 2 - 0 - 1 - 16		181
	9	4		9 - 4		121
	17	4		17 - 10 - 5 - 4		111
	6	10		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		448
	13	15		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15		359
	17	18		17 - 10 - 5 - 4 - 16 - 18		205
	13	9		13 - 12 - 11 - 9		224
	10	8		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		145
	13	10		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		65
	13	18		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		442
	0	9		0 - 1 - 2 - 3 - 4 - 5 - 9		56
	4	9		4 - 2 - 0 - 1 - 16 - 5 - 9		46
	2	18		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		384
	10	17		10 - 5 - 4 - 2 - 0 - 15 - 17		433
	14	13		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13		231
	15	11		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11		47
	4	1		4 - 2 - 0 - 1		168
	17	9		17 - 10 - 5 - 4 - 9		338
	2	7		2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		180
	7	1		7 - 6 - 4 - 2 - 0 - 1		407
	15	10		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10		48
	18	1		18 - 5 - 4 - 2 - 1		371
	6	13		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		325
	7	2		7 - 6 - 4 - 2		291
	5	17		5 - 4 - 2 - 0 - 1 - 16 - 17		57
	10	15		10 - 5 - 4 - 2 - 0 - 15		214
	18	9		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9		68
	15	8		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		442
	8	16		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16		318
	18	5		18 - 5		173
	15	1		15 - 0 - 1		145
	6	18		6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		192
	2	5		2 - 0 - 1 - 16 - 4 - 5		100
	12	0		12 - 11 - 9 - 4 - 2 - 0		78
	0	7		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		18
	18	17		18 - 5 - 4 - 2 - 0 - 15 - 17		309
	17	14		17 - 10 - 5 - 4 - 15 - 14		173
	0	8		0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		402
	15	6		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6		425
	4	17		4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		331
	5	8		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 8		191
	4	11		4 - 2 - 0 - 1 - 16 - 5 - 9 - 11		16
	2	8		2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		296
	17	0		17 - 10 - 5 - 4 - 2 - 0		43
	15	17		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10 - 17		83
	2	0		2 - 0		332
	16	1		16 - 1		190
	17	7		17 - 10 - 5 - 4 - 6 - 7		232
	9	3		9 - 4 - 3		398
	6	3		6 - 4 - 3		102
	9	11		9 - 4 - 2 - 0 - 15 - 11		160


Solucion numero: 16
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	0	12		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		31
	0	13		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		262
	0	14		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		318
	1	12		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		236
143
	1	13		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		183
436
	1	14		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		405
366
	3	12		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		11
	3	13		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		35
	3	14		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		45
	16	12		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12		220
	16	13		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12 - 13		21
	16	14		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 14		167
	0	17		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		217
	0	18		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		259
	1	0		1 - 0		86
	1	5		1 - 0 - 2 - 3 - 4 - 5		365
	1	6		1 - 0 - 2 - 3 - 4 - 5 - 6		8
	1	10		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		107
104
	1	11		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		250
373
	0	5		0 - 1 - 2 - 3 - 4 - 5		267
	0	6		0 - 1 - 2 - 3 - 4 - 5 - 6		71
	0	10		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		332
	1	15		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		232
313
	1	16		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		36
331
	1	17		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		347
25
	1	18		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		142
358
	2	3		2 - 0 - 1 - 16 - 4 - 3		153
	2	12		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		221
	2	13		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		345
	2	14		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		268
	3	0		3 - 2 - 0		147
	3	2		3 - 2		289
	3	4		3 - 2 - 0 - 1 - 16 - 4		149
	3	5		3 - 2 - 0 - 1 - 16 - 4 - 5		425
	3	6		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6		184
	3	10		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10		135
	3	11		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		343
	0	11		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		89
	0	1		0 - 1		253
	0	2		0 - 1 - 2		341
	3	15		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		32
	3	18		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		29
	4	3		4 - 3		381
	4	12		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12		326
	4	13		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12 - 13		27
	4	14		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 14		200
	5	3		5 - 4 - 3		366
	5	4		5 - 4		370
	8	3		8 - 7 - 6 - 4 - 3		189
	8	4		8 - 7 - 6 - 4		295
	8	12		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		347
	8	13		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		396
	8	14		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		70
	10	3		10 - 5 - 4 - 3		276
	10	4		10 - 5 - 4		226
	12	11		12 - 11		153
	13	12		13 - 12		52
	15	13		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12 - 13		414
	16	0		16 - 1 - 0		48
	16	5		16 - 1 - 0 - 2 - 3 - 4 - 5		357
	16	6		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6		206
	16	10		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10		304
	16	11		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 11		196
	0	3		0 - 1 - 2 - 3		289
	0	15		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		255
	0	16		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		84
	16	15		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 15		207
	16	18		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 18		423
	18	3		18 - 5 - 4 - 3		31
	18	4		18 - 5 - 4		354
	2	6		2 - 0 - 1 - 16 - 4 - 5 - 6		424
	3	7		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		92
	5	6		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 7 - 6		137
	6	7		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 7		344
	6	8		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		394
	7	3		7 - 6 - 4 - 3		122
	7	4		7 - 6 - 4		251
	7	6		7 - 6		132
	7	8		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		236
	7	12		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		360
	7	13		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		213
	7	14		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		265
	8	0		8 - 7 - 6 - 4 - 2 - 0		157
	8	1		8 - 7 - 6 - 4 - 2 - 0 - 1		273
	8	2		8 - 7 - 6 - 4 - 2		107
	3	8		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		122
	2	10		2 - 0 - 1 - 16 - 4 - 5 - 10		410
	8	5		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		415
	8	6		8 - 7 - 6		404
	8	7		8 - 7		277
	8	9		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		131
	8	10		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		140
	8	11		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		269
	2	11		2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		134
	1	7		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7		168
	1	8		1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		160
	8	15		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		121
	8	17		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		75
	8	18		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		215
	9	8		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6 - 7 - 8		429
	10	0		10 - 5 - 4 - 2 - 0		282
	10	2		10 - 5 - 4 - 2		63
	7	18		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		98
	13	3		13 - 12 - 11 - 9 - 4 - 3		292
	9	0		9 - 4 - 2 - 0		83
	16	7		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6 - 7		258
	17	10		17 - 10		144
	4	6		4 - 2 - 0 - 1 - 16 - 5 - 6		62
	16	4		16 - 1 - 0 - 2 - 4		265
	6	4		6 - 4		391
	15	4		15 - 0 - 1 - 2 - 4		295
	13	0		13 - 12 - 11 - 9 - 4 - 2 - 0		353
	18	2		18 - 5 - 4 - 2		179
	18	0		18 - 5 - 4 - 2 - 0		233
	6	1		6 - 4 - 2 - 0 - 1		311
	4	16		4 - 2 - 0 - 1 - 16		105
	2	15		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		280
	12	1		12 - 11 - 9 - 4 - 2 - 1		231
	10	11		10 - 5 - 4 - 2 - 0 - 15 - 11		86
	2	17		2 - 0 - 1 - 16 - 4 - 5 - 10 - 17		145
	2	4		2 - 0 - 1 - 16 - 4		199
	18	7		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7		304
	13	14		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		401
	11	10		11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		272
	12	2		12 - 11 - 9 - 4 - 2		194
	9	7		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		350
	10	9		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9		336
	13	8		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		60
	17	8		17 - 10 - 5 - 4 - 6 - 7 - 8		417
	7	9		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		113
	12	3		12 - 11 - 9 - 4 - 3		26
	12	18		12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		103
	12	13		12 - 11 - 9 - 4 - 2 - 0 - 15 - 13		109
	10	6		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		448
	15	7		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		380
	17	1		17 - 10 - 5 - 4 - 2 - 1		358
	7	16		7 - 6 - 4 - 2 - 0 - 1 - 16		38
	6	5		6 - 4 - 2 - 0 - 1 - 16 - 5		411
	5	16		5 - 4 - 2 - 0 - 1 - 16		307
	11	17		11 - 9 - 4 - 2 - 0 - 15 - 17		25
	18	12		18 - 5 - 4 - 2 - 0 - 15 - 11 - 12		239
	13	6		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		33
	12	4		12 - 11 - 9 - 4		330
	1	3		1 - 0 - 2 - 3		175
	11	15		11 - 9 - 4 - 2 - 0 - 15		278
	12	10		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		338
	15	0		15 - 0		9
	14	0		14 - 11 - 9 - 4 - 2 - 0		31
	9	1		9 - 4 - 2 - 0 - 1		156
	9	12		9 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		293
	17	11		17 - 10 - 5 - 4 - 9 - 11		67
	13	4		13 - 12 - 11 - 9 - 4		329
	14	18		14 - 11 - 9 - 4 - 2 - 1 - 16 - 18		413
	17	16		17 - 10 - 5 - 4 - 16		149
	15	16		15 - 0 - 1 - 2 - 3 - 4 - 5 - 16		435
	12	6		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		253
	3	17		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10 - 17		274
	9	14		9 - 4 - 2 - 0 - 1 - 16 - 15 - 14		146
	12	9		12 - 11 - 9		56
	17	12		17 - 10 - 5 - 4 - 9 - 11 - 12		150
	16	2		16 - 1 - 0 - 2		109
	6	15		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		246
	15	3		15 - 0 - 1 - 2 - 3		302
	14	8		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		136
	12	16		12 - 11 - 9 - 4 - 2 - 1 - 16		303
	2	9		2 - 0 - 1 - 16 - 4 - 5 - 9		235
	1	2		1 - 0 - 2		302
	15	18		15 - 0 - 1 - 2 - 3 - 4 - 5 - 18		30
	6	17		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		160
	17	3		17 - 10 - 5 - 4 - 3		6
	11	16		11 - 9 - 4 - 2 - 1 - 16		2
	10	5		10 - 5		283
	1	4		1 - 0 - 2 - 4		404
	6	12		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		300
	7	15		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		58
	17	5		17 - 10 - 5		105
	0	4		0 - 1 - 2 - 4		65
	18	15		18 - 5 - 4 - 2 - 0 - 15		277
	14	3		14 - 11 - 9 - 4 - 3		124
	6	0		6 - 4 - 2 - 0		352
	3	16		3 - 2 - 0 - 1 - 16		46
	4	8		4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		264
	10	14		10 - 5 - 4 - 2 - 0 - 15 - 14		420
	17	15		17 - 10 - 5 - 4 - 15		337
	2	16		2 - 0 - 1 - 16		378
	9	17		9 - 4 - 2 - 0 - 1 - 16 - 17		421
	2	1		2 - 0 - 1		37
	7	17		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		243
	13	5		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		428
	15	12		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12		33
	14	2		14 - 11 - 9 - 4 - 2		203
	10	7		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7		34
	10	16		10 - 5 - 4 - 2 - 1 - 16		319
	13	7		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		195
	7	11		7 - 6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		180
	18	10		18 - 5 - 4 - 2 - 0 - 15 - 11 - 10		449
	16	17		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10 - 17		298
	9	10		9 - 4 - 2 - 0 - 15 - 11 - 10		59
	11	14		11 - 9 - 4 - 2 - 0 - 15 - 14		49
	12	7		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		314
	9	15		9 - 4 - 2 - 0 - 1 - 16 - 15		163
	5	7		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 7		173
	1	9		1 - 0 - 2 - 3 - 4 - 5 - 9		56
	17	6		17 - 10 - 5 - 4 - 6		290
	18	14		18 - 5 - 4 - 2 - 0 - 15 - 14		241
	12	5		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		209
	14	9		14 - 11 - 9		169
	12	14		12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		44
	6	11		6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		374
	18	11		18 - 5 - 4 - 2 - 0 - 15 - 11		317
	10	12		10 - 5 - 4 - 2 - 0 - 15 - 11 - 12		328
	10	13		10 - 5 - 4 - 2 - 0 - 15 - 13		359
	16	9		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9		401
	13	1		13 - 12 - 11 - 9 - 4 - 2 - 1		166
	15	14		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 14		399
	5	18		5 - 4 - 2 - 0 - 1 - 16 - 18		167
	6	2		6 - 4 - 2		172
	13	16		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16		99
	13	11		13 - 12 - 11		422
	9	13		9 - 4 - 2 - 0 - 1 - 16 - 15 - 13		12
	18	16		18 - 5 - 4 - 2 - 1 - 16		324
	9	5		9 - 4 - 2 - 0 - 1 - 16 - 5		68
	5	0		5 - 4 - 2 - 0		288
	11	13		11 - 9 - 4 - 2 - 0 - 15 - 13		138
	5	15		5 - 4 - 2 - 0 - 15		330
	12	8		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		6
	5	10		5 - 4 - 2 - 0 - 15 - 11 - 10		381
	16	3		16 - 1 - 0 - 2 - 3		69
	4	2		4 - 2		235
	5	13		5 - 4 - 2 - 0 - 1 - 16 - 15 - 13		61
	18	13		18 - 5 - 4 - 2 - 0 - 15 - 13		438
	14	12		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		19
	9	6		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6		85
	14	17		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17		222
	10	18		10 - 5 - 4 - 2 - 1 - 16 - 18		118
	14	5		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5		240
	14	16		14 - 11 - 9 - 4 - 2 - 1 - 16		119
	4	10		4 - 2 - 0 - 1 - 16 - 5 - 10		266
	6	14		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		441
	15	2		15 - 0 - 1 - 2		40
	11	12		11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		148
	12	17		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		384
	5	14		5 - 4 - 2 - 0 - 1 - 16 - 15 - 14		205
	13	17		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		447
	7	10		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		367
	5	9		5 - 4 - 2 - 0 - 15 - 11 - 9		223
	5	12		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		80
	14	11		14 - 11		190
	3	1		3 - 2 - 0 - 1		189
	14	15		14 - 11 - 9 - 4 - 2 - 0 - 15		389
	18	8		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		346
	5	2		5 - 4 - 2		301
	6	9		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		232
	14	4		14 - 11 - 9 - 4		369
	3	9		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9		43
	16	8		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		248
	17	2		17 - 10 - 5 - 4 - 2		41
	9	16		9 - 4 - 2 - 0 - 1 - 16		433
	14	7		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		334
	18	6		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		287
	5	11		5 - 4 - 2 - 0 - 15 - 11		292
	11	9		11 - 9		298
	17	13		17 - 10 - 5 - 4 - 15 - 13		248
	9	18		9 - 4 - 2 - 0 - 1 - 16 - 18		366
	13	2		13 - 12 - 11 - 9 - 4 - 2		296
	14	1		14 - 11 - 9 - 4 - 2 - 1		143
	4	5		4 - 2 - 0 - 1 - 16 - 5		74
	7	5		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		220
	14	10		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		270
	7	0		7 - 6 - 4 - 2 - 0		95
	15	5		15 - 0 - 1 - 2 - 3 - 4 - 5		100
	4	18		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 18		22
	11	18		11 - 9 - 4 - 2 - 1 - 16 - 18		171
	14	6		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		170
	4	15		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 15		48
	12	15		12 - 11 - 9 - 4 - 2 - 0 - 15		50
	15	9		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9		363
	5	1		5 - 4 - 2 - 1		82
	4	0		4 - 2 - 0		369
	10	1		10 - 5 - 4 - 2 - 1		189
	4	7		4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		182
	9	2		9 - 4 - 2		406
	6	16		6 - 4 - 2 - 0 - 1 - 16		383
	9	4		9 - 4		409
	17	4		17 - 10 - 5 - 4		416
